"Tillbrook, Samuel"
Mentioned In, URL
Letter 3.1657 18 July 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1657.html
Letter 3.1661 30 July 1809,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1661.html
Letter 4.2225 27 February 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2225.html
Letter 4.2596 8 May 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2596.html
Letter 4.2598 16 May 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2598.html
Letter 4.2645 15 August 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2645.html
Letter 5.2876 10 December 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2876.html
Letter 6.3428 29 January 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3428.html
Letter 6.3467 15 April 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3467.html
Letter 6.3487 28 May 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3487.html
Letter 6.3488 [29 May 1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3488.html
Letter 6.3677 25 April 1821,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3677.html
Letter 7.3801 20 February 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3801.html
Letter 7.3831 28 April 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3831.html
Letter 7.3847 27 May 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3847.html
Letter 7.3848 29 May 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3848.html
Letter 7.4131 9 February 1824 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4131.html
Letter 7.4138 19 February 1824 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4138.html
Letter 7.4149 3 March 1824 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4149.html
Letter 7.4180 [c. April 1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4180.html
Letter 7.4182 3 May 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4182.html
Letters To, URL
Letter 5.2883 22 December 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.5.2883.html
Letter 7.3856 17 June 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.3856.html
Letter 7.3872 17 July 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.3872.html
Letter 7.4147 [c. March 1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.7.4147.html
