"Tobin, James Webbe"
Mentioned In, URL
Letter 2.408 13 May 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.408.html
Letter 2.433 [4 September 1799],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.433.html
Letter 2.447 18 October 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.447.html
Letter 2.462 15 December 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.462.html
Letter 2.486 [c. 3 February 1800],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.486.html
Letter 2.540 26 July 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.540.html
Letter 2.600 19 August–6 September 1801 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.600.html
Letter 2.618 [c. 16 October 1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.618.html
Letter 2.631 27 November 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.631.html
Letter 2.633 30 November 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.633.html
Letter 2.649 9 January 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.649.html
Letter 2.670a 15-16 April 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.670a.html
Letter 2.670b 15-16 April 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.670b.html
Letter 2.683 [c. 21 June 1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.683.html
Letter 2.690 4 July [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.690.html
Letter 2.693 12 July 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.693.html
Letter 2.772 16[-18] April 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.772.html
Letter 2.797 14 June 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.797.html
Letter 2.819 [7 August 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.819.html
Letter 3.1031 5 February 1805 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1031.html
Letter 3.1041 1 March 1805 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1041.html
Letter 3.1074 [started before and continued on] 11 June 1805 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1074.html
Letter 3.1136 29 December 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1136.html
Letter 3.1157 15 February 1806 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1157.html
Letter 3.1226 13 October 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1226.html
Letter 3.1362 22 September 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1362.html
Letter 3.886 20 January 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.886.html
Letter 3.904 [1–]5 March 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.904.html
Letter 3.937 [9 May 1804] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.937.html
Letter 3.951 11 June 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.951.html
Letter 3.959 2 July 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.959.html
Letter 3.966 18 July 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.966.html
Letter 3.978 12 September 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.978.html
Letter 3.990 [21 November 1804],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.990.html
Letter 4.2219 10 February 1813,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2219.html
Letter 4.2594 6 May 1815,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2594.html
Letter 5.2827 [July 1816],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2827.html
Letters To, URL
Letter 3.1218 22 September 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.3.1218.html
