"Townshend, Chauncy
							Hare"
Letters To:, URL
"Letter 5.2712, 10 February 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2712.html
"Letter 5.2790, 16 May 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2790.html
"Letter 5.2806, 5 June 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2806.html
"Letter 5.2824, 22 July 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2824.html
"Letter 5.2830, 17 August 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2830.html
"Letter 5.2921, 16 February 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2921.html
"Letter 5.3011, 9 [August] 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3011.html
"Letter 5.3033, 31 October 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3033.html
"Letter 5.3119, 12 April 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3119.html
"Letter 5.3218, 10 December 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3218.html
"Letter 6.3337, [c. 28 July 1819]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3337.html
"Letter 6.3682, 6 May 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3682.html
Mentioned In:, URL
"Letter 5.2909, 29 January 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2909.html
"Letter 5.3046, 2 December 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3046.html
"Letter 5.3193, 16 September 1818 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3193.html
"Letter 5.3195, 18 September 1818 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3195.html
"Letter 5.3199, 2 October 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3199.html
"Letter 5.3200, 5 October 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3200.html
"Letter 5.3203, 26 October 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3203.html
"Letter 5.3204, 4 November 1818 (5 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3204.html
"Letter 5.3205, 6 November 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3205.html
"Letter 5.3206, 6 November 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3206.html
"Letter 5.3207, 10 November 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3207.html
"Letter 5.3213, 27 November 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3213.html
"Letter 6.3246, 15 February 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3246.html
"Letter 6.3260, 6 March 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3260.html
"Letter 6.3265, 13 March 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3265.html
"Letter 6.3467, 15 April 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3467.html
"Letter 6.3482, 13 May 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3482.html
"Letter 6.3487, 28 May 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3487.html
"Letter 6.3646, 5 March 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3646.html
"Letter 6.3684, 9 May 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3684.html
"Letter 6.3696, 21 June 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3696.html
"Letter 7.3923, 25 November 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3923.html
"Letter 7.4269, 27 October [1824]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4269.html
