Wedgwood  Thomas
Mentioned In, URL
Letter 2.283 12 January 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.283.html
Letter 2.408 13 May 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.408.html
Letter 2.461 9 December 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.461.html
Letter 2.469 27 December 1799 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.469.html
Letter 2.474 8 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.474.html
Letter 2.475 8 January 1800 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.475.html
Letter 2.483 30 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.483.html
Letter 2.642 21 December 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.642.html
Letter 2.649 9 January 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.649.html
Letter 2.656 6 February 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.656.html
Letter 2.754 23 January 1803 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.754.html
Letter 2.760 14 February 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.760.html
Letter 3.1086 26 July 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1086.html
Letter 4.2403 17 April 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2403.html
Letter 4.2404 18 April 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2404.html
Letter 4.2480 10 September 1814 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2480.html
Letter 4.2485 12 October 1814,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2485.html
Letters To, URL
