"White, Henry Kirke"
Letters To:, URL
"Letter 3.942, 18 May 1804",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.942.html
Mentioned In:, URL
"Letter 3.1238, 24 November 1806 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1238.html
"Letter 3.1245, 20 December 1806 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1245.html
"Letter 3.1246, 21 December 1806",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1246.html
"Letter 3.1255, 2 January 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1255.html
"Letter 3.1271, 3 February 1807 (4 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1271.html
"Letter 3.1273, 4 February 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1273.html
"Letter 3.1280, 25 February 1807 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1280.html
"Letter 3.1282, 3 March 1807 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1282.html
"Letter 3.1284, 9 March 1807 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1284.html
"Letter 3.1290, 18 March 1807 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1290.html
"Letter 3.1304, 7 April 1807 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1304.html
"Letter 3.1307, 13 April 1807 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1307.html
"Letter 3.1309, 21 April 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1309.html
"Letter 3.1320, 10 May [1807] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1320.html
"Letter 3.1322, 13 May 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1322.html
"Letter 3.1325, 23 May 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1325.html
"Letter 3.1341, [July 1807]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1341.html
"Letter 3.1389, 5 December 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1389.html
"Letter 3.1413, 9 January 1808 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1413.html
"Letter 3.1418, 22 January 1808 (4 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1418.html
"Letter 3.1435, 22 March [1808]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1435.html
"Letter 3.1446, 22 April 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1446.html
"Letter 3.1453, 30 April 1808 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1453.html
"Letter 3.1478, 11 July 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1478.html
"Letter 3.1487, 6 August 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1487.html
"Letter 3.1488, 6–9 August 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1488.html
"Letter 3.1505, 10 September 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1505.html
"Letter 3.1515, 30 September 1808 (5 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1515.html
"Letter 3.1519, 13 October 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1519.html
"Letter 3.1545, 28 November 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1545.html
