"White, James"
Letters To:, URL
"Letter 4.1973, 25 October 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1973.html
"Letter 4.2040, 16 February 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2040.html
"Letter 4.2414, 2 May 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2414.html
"Letter 4.2499, 11 November 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2499.html
"Letter 4.2645, 15 August 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2645.html
"Letter 5.2845, 17 September 1816",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2845.html
Mentioned In:, URL
"Letter 3.1280, 25 February 1807",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1280.html
"Letter 3.1430, [written 2–5 March 1808]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1430.html
"Letter 3.1478, 11 July 1808",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1478.html
"Letter 3.1569, 20 January 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1569.html
"Letter 3.1584, 18 February 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1584.html
"Letter 3.1691, 10 October 1809",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1691.html
"Letter 4.1952, 8 September 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1952.html
"Letter 4.1955, 13[–14] September 1811 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1955.html
"Letter 4.1958, 27 September 1811 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1958.html
"Letter 4.1984, 16 November 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1984.html
"Letter 4.2062, 18 March 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2062.html
"Letter 4.2076, 12 April 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2076.html
"Letter 4.2128, 29 July 1812 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2128.html
"Letter 4.2151, 27 September 1812",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2151.html
"Letter 4.2225, 27 February 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2225.html
"Letter 4.2268, 14 June 1813",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2268.html
"Letter 4.2479, 7 September 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2479.html
"Letter 4.2500, 11 November 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2500.html
"Letter 4.2556, 16 February 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2556.html
"Letter 4.2596, 8 May 1815 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2596.html
"Letter 4.2680, 8 December 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2680.html
"Letter 5.3074, 7 February 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3074.html
"Letter 5.3085, [c. late February 1818]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3085.html
"Letter 5.3204, 4 November 1818",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3204.html
"Letter 7.3891, 1 September 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3891.html
"Letter 7.4162, 27 March 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4162.html
"Letter 7.4301, 21 December 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4301.html
