"Wilkin, Simon"
Letters To:, URL
Mentioned In:, URL
"Letter 7.4192, 27 May 1824 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4192.html
"Letter 7.4204, 24 June 1824 (3 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4204.html
"Letter 7.4257, 1 October 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4257.html
"Letter 7.4258, 4 October 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4258.html
"Letter 7.4263, 13 October 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4263.html
"Letter 7.4267, 21 October 1824 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4267.html
"Letter 7.4308, 31 December 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4308.html
