"Wilson, John"
Letters To:, URL
"Letter 6.3469, 21 April 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3469.html
"Letter 6.3515, 27 July 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3515.html
Mentioned In:, URL
"Letter 4.1734, 17–21 January 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1734.html
"Letter 4.1889, 24 March 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1889.html
"Letter 4.2508, 1 December 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2508.html
"Letter 4.2550, 8 February 1815 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2550.html
"Letter 5.2875, 8 December [1816] (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2875.html
"Letter 6.3243, 8 February 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3243.html
"Letter 6.3255, 27 February 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3255.html
"Letter 6.3259, [6 March 1819]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3259.html
"Letter 6.3345, [20 August 1819]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3345.html
"Letter 6.3390, 17 November 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3390.html
"Letter 6.3484, [19 May 1820]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3484.html
"Letter 7.3930, 9 December 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3930.html
"Letter 7.4061, 21 September 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4061.html
