Winterbotham  William
Mentioned In, URL
Letter 5.2946 [19 March 1817] (6 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2946.html
Letter 5.2949 21 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2949.html
Letter 5.2950 22 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2950.html
Letter 5.2951 22 March 1817 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2951.html
Letter 5.2953 23 March 1817 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2953.html
Letter 5.2956 25 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2956.html
Letter 5.2957 26 March 1817 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2957.html
Letter 5.2959 29 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2959.html
Letter 5.2960 31 March 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2960.html
Letter 5.2966 5 April 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2966.html
Letter 5.2972 9 April 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2972.html
Letters To, URL
