"Wollstonecraft, Mary"
Mentioned In, URL
Letter 1.159 [started before and continued on 12 June 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.159.html
Letter 1.160 12 June 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.160.html
Letter 1.189 [c. early December 1796],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.189.html
Letter 1.192 19 December 1796,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.192.html
Letter 1.204 13 March 1797 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.204.html
Letter 1.213 28 April 1797 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.213.html
Letter 1.214 2 May [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.214.html
Letter 1.257 [16 September 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.257.html
Letter 1.260 1 – 18 October [1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.260.html
Letter 1.262 [c. 16 October 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.262.html
Letter 1.279 24 December 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.279.html
Letter 2.319 [27–]28 May 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.319.html
Letter 2.472 [started before and continued on] 1 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.472.html
Letter 2.476 9 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.476.html
Letter 2.477 16 January 1800,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.477.html
Letter 2.598 17 August 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.598.html
Letter 2.626 [mid-late November 1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.626.html
Letter 2.656 6 February 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.656.html
Letter 2.838 [8 September 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.838.html
Letter 3.1090 [July-August 1805] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1090.html
Letter 3.902 February 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.902.html
Letter 3.904 [1–]5 March 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.904.html
Letter 3.958 1 July 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.958.html
Letter 7.4133 13 February 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4133.html
Letter 7.4198 7 June 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4198.html
Letters To, URL
