"Wordsworth, Christopher"
Mentioned In, URL
Letter 3.1137 [29-]30 December 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1137.html
Letter 3.1160 25 February 1806,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1160.html
Letter 3.1299.1 [written before 23 May 1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1299.1.html
Letter 3.1325 23 May 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1325.html
Letter 3.1371 5 October 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1371.html
Letter 3.1372 15 October [1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1372.html
Letter 3.992 23 November 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.992.html
Letter 4.2036 12 February [1812],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2036.html
Letter 5.2983 1 May 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2983.html
Letter 5.2987 5–8 May [1817],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2987.html
Letter 5.3041 24 November 1817,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.3041.html
Letter 6.3410 31 December 1819,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3410.html
Letter 6.3429 1 February 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3429.html
Letter 6.3460 1 April 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3460.html
Letter 6.3481 12 [May 1820] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3481.html
Letter 6.3644 3 March [1821],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3644.html
Letter 7.3878 30 July – [continued on 2 August] 1822 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3878.html
Letter 7.3883 14 August 1822 (3 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3883.html
Letter 7.3890 31 August 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3890.html
Letter 7.3916 12 November 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3916.html
Letter 7.3976 7 March 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3976.html
Letter 7.3979 14 March 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3979.html
Letter 7.4046 18 July 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4046.html
Letter 7.4206 [c. 27 June 1824],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4206.html
Letter 7.4287 5 December 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4287.html
Letter 7.4288 6 December 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4288.html
Letter 7.4307 30 December 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4307.html
Letter 7.4308 31 December 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4308.html
Letters To, URL
Letter 6.3479 6 May [1820],https://cha.artsci.tamu.edu/SoutheyLetters/HTML//southey.6.3479.html
