"Wordsworth, Mary"
Letters To:, URL
"Letter 7.4180, [c. April 1824]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4180.html
Mentioned In:, URL
"Letter 2.649, 9 January 1802",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.649.html
"Letter 3.1021, 15 January 1805",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1021.html
"Letter 3.1315, [April-May 1807]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1315.html
"Letter 3.937, [9 May 1804]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.937.html
"Letter 4.1962, 10 October 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1962.html
"Letter 4.1974, 30 October 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1974.html
"Letter 4.2462, 27 July 1814",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2462.html
"Letter 4.2598, 16 May 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2598.html
"Letter 4.2649, 23 August 1815",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.2649.html
"Letter 5.2958, 28 March 1817",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2958.html
"Letter 6.3245, 13 February 1819",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3245.html
"Letter 6.3496, [c. 20 June 1820]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3496.html
"Letter 6.3564, 22 November 1820",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3564.html
"Letter 6.3643, 1 March 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3643.html
"Letter 6.3682, 6 May 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3682.html
"Letter 6.3742, 23 October 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3742.html
"Letter 6.3747, 11 November 1821 (2 mentions)",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3747.html
"Letter 7.3822, 10 April 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3822.html
"Letter 7.3963, 10 February 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3963.html
"Letter 7.3994, 3 April 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3994.html
"Letter 7.4050, 2 August 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4050.html
"Letter 7.4163, 28 March 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4163.html
