"Wordsworth, William"
Mentioned In, URL
Letter 1.210 9 April 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.210.html
Letter 1.223 [14 June 1797?],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.223.html
Letter 1.225 [c. 21 June 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.225.html
Letter 1.229.1 [late June 1797?] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.229.1.html
Letter 1.253 5 September 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.253.html
Letter 1.258 [22 September 1797],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.258.html
Letter 1.275 3 [– 4] December 1797,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.275.html
Letter 2.285 [19 January 1798],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.285.html
Letter 2.317 21 May 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.317.html
Letter 2.347 5 September 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.347.html
Letter 2.348 18 September [1798] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.348.html
Letter 2.349 26 September 1798,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.349.html
Letter 2.361 17 December 1798 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.361.html
Letter 2.411 19 May 1799,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.411.html
Letter 2.592 25 July [1801],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.592.html
Letter 2.599 19 August 1801,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.599.html
Letter 2.654 [started before and continued on] 6 February [1802],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.654.html
Letter 2.703 4 August 1802,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.703.html
Letter 2.745 [21 December 1802] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.745.html
Letter 2.749 11 January 1803 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.749.html
Letter 2.757 [c. 31 January 1803] (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.757.html
Letter 2.758 4 February 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.758.html
Letter 2.765 9 March 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.765.html
Letter 2.838 [8 September 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.838.html
Letter 2.842 28 September 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.842.html
Letter 2.855 19 November 1803 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.855.html
Letter 2.857 [27 November 1803] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.857.html
Letter 2.863 9 December 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.863.html
Letter 2.867 11 December 1803,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.867.html
Letter 2.868 14 December 1803 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.868.html
Letter 2.874 [c. 23 December 1803],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.874.html
Letter 3.1005 18 December 1804,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1005.html
Letter 3.1030 [January–]11 February [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1030.html
Letter 3.1031 5 February 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1031.html
Letter 3.1033 [9 February 1805] (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1033.html
Letter 3.1034 [10 February 1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1034.html
Letter 3.1036 15 February 1805 (4 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1036.html
Letter 3.1037 [started before and continued on] 17 February 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1037.html
Letter 3.1038 [started before and continued on] 18 February 1805,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1038.html
