"Wynn, Charles Watkin
							Williams"
Letters To:, URL
"Letter 1.102, [between c. 3–9 September 1794]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.102.html
"Letter 1.151, 23–27 April 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.151.html
"Letter 1.156, 24 May 1796",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.156.html
"Letter 1.181, [10 October 1796]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.181.html
"Letter 1.195, [26 January 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.195.html
"Letter 1.197, 29 January [1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.197.html
"Letter 1.220, 2 June 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.220.html
"Letter 1.233, 11 July [1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.233.html
"Letter 1.237, 19 July [1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.237.html
"Letter 1.245, 9 August 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.245.html
"Letter 1.249, 16 August 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.249.html
"Letter 1.251, 24 August 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.251.html
"Letter 1.256, 12 September [1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.256.html
"Letter 1.258, [22 September 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.258.html
"Letter 1.265, 20 October 1797",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.265.html
"Letter 1.272, [12 November 1797]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_One/southey.1.272.html
"Letter 2.292, 8 March 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.292.html
"Letter 2.298, [25 March] 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.298.html
"Letter 2.302, 4 April [1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.302.html
"Letter 2.304, [10 April 1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.304.html
"Letter 2.305, 11 April [1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.305.html
"Letter 2.307, [21 April 1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.307.html
"Letter 2.312, 5 May 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.312.html
"Letter 2.316, [11 May 1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.316.html
"Letter 2.327, 14 June [1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.327.html
"Letter 2.330, 27 June 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.330.html
"Letter 2.332, 8 July 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.332.html
"Letter 2.334, 15 July [1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.334.html
"Letter 2.336, 21 July 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.336.html
"Letter 2.340, 3 August [1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.340.html
"Letter 2.342, [started before and continued on] 15 August [1798]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.342.html
"Letter 2.354, 29 October 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.354.html
"Letter 2.361, 17 December 1798",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.361.html
"Letter 2.370, 9 January 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.370.html
"Letter 2.371, 15 January 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.371.html
"Letter 2.372, 16 January 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.372.html
"Letter 2.375, 27 January 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.375.html
"Letter 2.377, 4 February [1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.377.html
"Letter 2.383, 25 February 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.383.html
"Letter 2.388, 13 March 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.388.html
"Letter 2.393, 30 March 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.393.html
"Letter 2.395, 5 April 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.395.html
"Letter 2.397, 9 April 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.397.html
"Letter 2.418, [24 June] 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.418.html
"Letter 2.420, 8 July 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.420.html
"Letter 2.422, 13 July 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.422.html
"Letter 2.427, [mid-August 1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.427.html
"Letter 2.438, 24 September 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.438.html
"Letter 2.443, 10 October 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.443.html
"Letter 2.446, 14 October [1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.446.html
"Letter 2.455, [18 November 1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.455.html
"Letter 2.457, 28 November [1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.457.html
"Letter 2.461, 9 December 1799",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.461.html
"Letter 2.463, [c. 16 December 1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.463.html
"Letter 2.465, [c. 19 December 1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.465.html
"Letter 2.471, [c. late December 1799]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.471.html
"Letter 2.475, 8 January 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.475.html
"Letter 2.478, 16 January 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.478.html
"Letter 2.480, 24 January 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.480.html
"Letter 2.492, 20 February 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.492.html
"Letter 2.493, 23 February 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.493.html
"Letter 2.494, 28 February 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.494.html
"Letter 2.509, 8 April 1800",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.509.html
