"Wynn (neé Cunliffe), Mary"
Mentioned In, URL
Letter 3.1089 28 July [1805],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1089.html
Letter 3.1208 8 August 1806.,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1208.html
Letter 3.1262 18 January 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1262.html
Letter 3.1264 23 January 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1264.html
Letter 3.1276 [mid-February 1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1276.html
Letter 3.1291 [c. 19 March 1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1291.html
Letter 3.1298 [25 March 1807],https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1298.html
Letter 3.1388 3 December 1807,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Three/southey.3.1388.html
Letter 4.1972 24 October 1811,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1972.html
Letter 5.2819 2 July 1816,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Five/southey.5.2819.html
Letter 6.3472 26 April 1820 (2 mentions),https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3472.html
Letter 6.3473 27 April 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3473.html
Letter 6.3554 13 November 1820,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3554.html
Letter 7.3906 11 October 1822,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3906.html
Letter 7.4096 28 November 1823,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4096.html
Letter 7.4210 4 July 1824,https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4210.html
Letters To, URL
