Robert Southey's Correspondents
"Abbot, Charles, 1st Baron Colchester"
"Abella, Manuel"
"Acland, Sir Thomas Dyke"
"Adamson, John"
"Aikin, John [as Editor of the Monthly Magazine and, later, The Athenaeum]"
"Amyot, Thomas"
"Atherstone, Edwin"
"Atkins, Edward Erasmus"
"Attersoll, Ann"
"Baillie, Joanna"
"Baird, George"
"Ballantyne, James"
"Ballantyne, John"
"Barham, Thomas Foster"
"Barker, Mary"
"Barrington, Charles James"
"Barton, Bernard"
"Beaumont, Sir George"
"Beaumont, Margaret, Lady"
"Bedford, Grosvenor Charles"
"Bedford, Horace Walpole"
"Beesley, Alfred"
"Bell, Andrew"
"Bell, John"
"Benson, Christopher"
"Betham, (Mary) Matilda"
"Bicknell, John Laurens"
"Biddlecombe, Charles"
"Bilderdijk, Willem"
"Bill, Robert"
"Blomfield, Charles James"
"Bloomfield, Robert"
"Boucher, Jonathan"
"Bounden, Joseph"
"Bowles, Caroline"
"Bowles, William Lisle"
"Bowring, John"
"Britton, John"
"Brockett, John Trotter"
"Brooks, Maria Gowen"
"Broome, Charlotte"
"Brougham, Henry"
"Browne, Elizabeth"
"Browne, Sarah"
"Browne, Wade"
"Bruce, William"
"Brugière, Antoine André, Baron de Sorsum"
"Brydges, Sir (Samuel) Egerton"
"Bunbury, Henry Edward, 7th Baronet"
"Burney, James"
"Busk, Hans"
"Butler, Charles"
"Butler, Eleanor"
"Calvert, John Mitchinson"
"Calvert, William"
"Canning, George"
"Cattermole, Richard"
"Cawood, John"
"do Cenáculo, Manuel, Bishop of Beja"
"Chantrey, Sir Francis Legatt"
"Chapman, John"
"Charlotte Augusta of Wales, Princess"
"Clarke, Adam"
"Clarkson, Thomas"
"Colburn, Henry"
"Coleridge, (David) Hartley"
"Coleridge, Derwent"
"Coleridge, George"
"Coleridge, John Taylor"
"Coleridge, Samuel Taylor"
"Collins, Charles"
"Conder, Josiah"
"Cottle, Amos"
"Cottle, Joseph"
"Courtenay, Thomas Peregrine"
"Coxe, William"
"Craufurd, Charles Gregan"
"Croker, John Wilson"
"Cunningham, Allan"
"Dallas, Alexander Robert Charles"
"Dalrymple, Hew Whitefoord"
"Danvers, Charles"
"Dauncey, Louisa"
"Davy, Humphry"
"De Clercq, Willem"
"De Quincey, Thomas"
"Dibdin, Thomas Frognall"
"D’Israeli, Isaac"
"Douce, Francis"
"Doyle, Sir Charles William"
"Druit, Mrs (neé Lovell)"
"Duppa, Richard"
"Dusautoy, James"
"Dyer, George"
"Edwards, Charles"
"Elliott, Ebenezer"
"Elmsley, Peter"
"Erskine, Henry"
"Estlin, John Prior"
"Estlin, Susanna"
"Evans, Greeton"
"Everett, Edward"
"Everett, James"
"Feldborg, Andreas Andersen"
"Feltham, John"
"Fisher, Henry"
"Fox, Henry Richard, Lord Holland"
"Freeling, Francis"
"Frere, Bartholomew"
"Frere, John Hookham"
"Fricker, Edith [from November 1795, Edith Southey]"
"Fricker, Eliza"
"Fricker, Sarah [from October 1795, Sara(h) Coleridge]"
"Garnett, Richard"
"Gibson, John"
"Gifford, William"
"Gillies, Robert Pearse"
"Gooch, Robert"
"Gooden, James"
"Goodenough, Edmund"
"Grahame, James"
"Grant, Anne"
"Greenough, George Bellas"
"Hatherton, Edward John Littleton"
"Hall, Samuel Carter"
"Hamond, Elton"
"Hare, Julius Charles"
"Harris, John"
"Hartwell, Aaron"
"Haslewood, Joseph"
"Haydon, Benjamin Robert"
"Hays, Mary"
"Heber, Richard"
"Heathcote, William"
"Heraud, John Abraham"
"Hill, Edward"
"Hill, Herbert"
"Hill, Herbert, Junior"
"Hill, Thomas"
"Hodson, Margaret Holford"
"Hogg, Edward"
"Hogg, James"
"Holroyd, John Baker, 1st Earl of Sheffield"
"Holworthy, Samuel"
"Horseman, John"
"Howley, William"
"Hughes, Mary Ann Watts"
"Hughes, Thomas"
"Hussey, Arthur"
"Hutchinson, Sara"
"Inglis, Robert Harry, 2nd Baronet"
"Jackson, Thomas"
"James, Harry"
"James, Paul Moon"
"Jebb, John"
"Jennings, James"
"Jensort, H. S."
"Kelly, Thomas W."
"Kennaway, Charles"
"Kenyon, John"
"King, John"
"Knighton, Sir William"
"Knowles, Herbert"
"Knox, William"
"Koster, Henry"
"Koster, John Theodore"
"Laing, David"
"Lamb, Charles"
"Lamb, Thomas Davis"
"Lamb, Thomas Phillipps"
"Landor, Robert Eyres"
"Landor, Walter Savage"
"La Touche, Thomas Digges"
"Latrobe, Christian Ignatius"
"Lawrence, Mary"
"Lawrence, Thomas [as President of the Royal Academy]"
"Leyden, John"
"Lightfoot, John Prideaux"
"Lightfoot, Nicholas"
"Littleton, Edward"
"Lloyd, Charles [Senior]"
"Locker, Edward Hawke"
"Lockhart, John Gibson"
"Longman, Thomas Norton"
"Longmire, John Martyn"
"Losh, James"
"Lovell, John Hill"
"Lovell, Robert"
"Lovell, Robert [Senior], and family"
"Lowther, William, 1st Earl of Lonsdale"
"Lundie, Robert"
"Mackintosh, Sir James"
"Manners-Sutton, Charles"
"Markland, James Heywood"
"Marshall, Thomas"
"Mason, Henry Joseph Monck"
"Maurice, Michael"
"May, John"
"Maynard, Miss"
"Miller, John"
"Mitford, George"
"Mitford, John"
"Moncreiff, James Wellwood, 9th Baronet"
"Montagu, Anna"
"Montgomery, James"
"Moor, Edward"
"Morgan, John James"
"Morgan, Mary"
"Morris, Robert"
"Morris, William Richard"
"Morrison, John"
"Mudford, William [as Editor of the Courier]"
"Murray, John"
"Nash, Edward"
"Nash, William"
"Neale, Cornelius"
"Nichols, James"
"Nichols, John [as Editor of the Gentleman’s Magazine]"
"Noel, Leland"
"Opie, Amelia"
"Palfrey, John Gorham"
"Palgrave, Francis"
"Parry, Caleb Hillier"
"Peachy, William"
"Pettet, Alfred"
"Philip, Robert"
"Phillips, Richard [as proprietor of the Monthly Magazine]"
"Phillpotts, Henry"
"Ponsonby, Sarah"
"Poole, Thomas"
"Pratt, Samuel Jackson"
"Prosser, George Walter"
"Pughe, William Owen"
"Rees, Owen"
"Rees, Thomas"
"Reeve, Henry"
"Reid, Samuel"
"Relfe, Lupton"
"Rickman, John"
"Rickman, Susannah"
"Roberts, Edward"
"Robinson, Henry Crabb"
"Rogers, Samuel"
"Roscoe, William"
"Ross, William"
"Rouse, Robert"
"Rudge, James Horace"
"Rumney, John"
"Rushton, Edward"
"Saunders and Otley, Messrs [Saunders, Simon and Otley, John Edward]"
"Scott, Walter"
"Senhouse, Humphrey"
"Seton, Barbara"
"Seward, Anna"
"Seward, Miss [a sister of Edmund Seward]"
"Sharp, Richard"
"Shelley, Percy Bysshe"
"Shield, William"
"Simpson, Samuel"
"Smith, Grace"
"Smith, Maria Woodruffe"
"Smith, Thomas"
"Smith, Thomas Woodruffe"
"Smith, William"
"Smith, William Hawkes"
"Smyth, William"
"Sotheby, William"
"Southey, Bertha"
"Southey, Charles Cuthbert"
"Southey, Edith May"
"Southey, Edward"
"Southey, Henry Herbert"
"Southey, Herbert"
"Southey, Isabel"
"Southey, Katharine"
"Southey, Margaret"
"Southey, Thomas"
"Spafford, Horatio Gates"
"Spedding, John"
"Standert, Hugh Chudleigh"
"Stanger, James"
"Strachey, George"
"Stuart, Daniel [as Editor of the Morning Post and, later, the Courier]"
"Swan, Charles"
"Tate, James"
"Tayler, Charles Benjamin"
"Taylor, George"
"Taylor, Henry"
"Taylor, John"
"Taylor, William"
"Thomas, William Bowyer"
"Thompson, Thomas"
"Ticknor, George"
"Tighe, Richard"
"Tilbrook, Samuel"
"Tobin, James Webbe"
"Townshend, Chauncy Hare"
"Treuttel and Wurtz, Messrs [Treuttel, John-Georges and Wurtz, John-Godefroy]"
"Turner, Dawson"
"Turner, Sharon"
"Walker, William Sidney"
"Walwein de Tervliet, Joseph Antoine"
"Ware, John [as Editor of the Cumberland Pacquet and Ware’s Whitehaven Advertiser]"
"Waring, Elijah"
"Watts, Alaric Alexander"
"Webb, William"
"Westall, William"
"White, Henry Kirke"
"White, James"
"White, (John) Neville"
"White, Joseph Blanco"
"White, Richard"
"Wilberforce, William"
"Wilkin, Simon"
"Wilkinson, Thomas"
"Williams, Helen Maria"
"Wilson, Glocester"
"Wilson, John"
"Wood, Sara"
"Wordsworth, Christopher"
"Wordsworth, Dora"
"Wordsworth, Mary"
"Wordsworth, William"
"Wrangham, Francis"
"Wynn, Charles Watkin Williams"
"York, Richard"
