"Unknown Correspondents"
Letters To:, URL
"Letter 2.658, 22 February [1802]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Two/southey.2.658.html
"Letter 4.1738, 30 January 1810",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1738.html
"Letter 4.1953, 9 September 1811",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Four/southey.4.1953.html
"Letter 6.3277, 29 March [1819]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3277.html
"Letter 6.3486.1, [26 May 1820]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3486.1.html
"Letter 6.3495, [19 June 1820]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3495.html
"Letter 6.3705, 21 July 1821",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3705.html
"Letter 6.3773, [c. 1820–1821]",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Six/southey.6.3773.html
"Letter 7.3930, 9 December 1822",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3930.html
"Letter 7.3987, 23 March 1823",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.3987.html
"Letter 7.4226, 7 August 1824",https://cha.artsci.tamu.edu/SoutheyLetters/HTML/Part_Seven/southey.7.4226.html
Mentioned In:, URL
